ImageId,PredictionString
ID_99bc4d11b,0.113163546 -3.0462623 -3.1249332 17.01883839471192 19.136560561135155 123.34477996826172 0.5080261 0.13167441 -0.16015548 -3.1231146 15.505083860163964 12.956839699095397 77.8519515991211 0.95909834 0.13132834 -0.045850076 -3.0948017 19.477479911617806 12.319052496503907 72.38411712646484 0.9739897 0.14149182 -0.042624213 -3.0902247 -3.1683574158003083 8.740830977217165 50.248878479003906 0.53759146 0.18799806 0.03245448 -3.0764194 16.44469994431992 9.611716964696619 54.0860595703125 0.95962816 0.13667119 -0.08075531 -3.11403 12.602268276838451 7.165434193364714 37.17386245727539 0.950758 0.16487086 -0.02988161 -3.0761971 13.745697734158867 6.605589062630084 33.61359405517578 0.9881103 0.1279037 0.00017488748 -3.099369 2.7505145923601972 5.206816702162236 24.611711502075195 0.9989229 0.15413833 -0.068804756 -3.0878282 11.662005542749935 5.290628872702914 20.917612075805664 0.9914392
ID_9bd02b06b,0.16310857 3.1319375 -3.1211252 -13.810069292498465 8.34738996435975 49.04747772216797 0.82376957 0.2028855 3.1264224 -3.11763 -12.549417766926616 12.355594070385735 71.02925872802734 0.9567582 0.14439975 3.1377804 -3.125697 -14.256652862481817 6.694735056708989 36.89122009277344 0.9939615 0.178928 3.1324706 -3.1266134 -15.8483112450761 4.617531348022986 24.43217658996582 0.9917177 0.14085053 -0.054460898 -3.0839097 -5.299392391833429 7.0672408955989034 37.39402389526367 0.98953956 0.12098676 3.1372895 -3.1196625 -7.750583484609596 6.778961684790836 35.16886520385742 0.781679 0.14154278 -0.046501033 -3.0874698 -2.184048280727815 6.8069261961144285 34.63813018798828 0.9822436 0.17904066 0.10153901 -3.0647564 -4.416035171589597 2.4510560541190394 8.120999336242676 0.99922824
ID_3eb110281,0.082450494 -0.0017398922 -3.0969748 -24.024506244038367 5.886400131648493 35.36878967285156 0.93972903 0.16951405 0.020864557 -3.0787528 -25.32143203594936 9.797028456298456 58.86603546142578 0.86977017 0.14783283 0.06313955 -3.0907133 -23.198175498603135 8.488424638614326 49.87616729736328 0.65077186 0.14742143 3.135204 -3.1169248 -21.511935978886314 9.263977903831936 53.25632095336914 0.8812623 0.19233854 0.024430376 -3.0890138 -10.261140940707818 14.1790453749854 79.78685760498047 0.92917234 0.120932445 0.022953497 -3.0938344 -9.816796755670872 11.11700523002903 60.01630401611328 0.66707695 0.10836029 -3.0864348 -3.126128 6.641975935788267 16.98761313113853 91.70938873291016 0.80714804 0.18982874 3.1263378 -3.109998 -1.8473584586967675 14.718498079078508 77.87818145751953 0.97470665 0.1774838 0.031690277 -3.0825987 1.1208289849234987 13.5692333871851 71.7972183227539 0.86628014 0.1549558 0.08508991 -3.098322 7.755418931454237 13.115378199240183 69.39579010009766 0.7357047 0.13015853 3.139857 -3.1275542 -4.968337238132477 9.770625433780374 50.68944549560547 0.99566925 0.17096984 -0.048387714 -3.093815 23.179207758531874 11.8091867025597 61.265384674072266 0.60999113 0.15775347 -0.02888392 -3.1086013 2.014485272801984 10.567371090628683 53.77375411987305 0.98621863 0.12027216 -0.051354095 -3.1015997 5.660780173375883 11.799800141738991 60.045166015625 0.99198663 0.1424655 -2.952674 -3.12076 19.978711273973758 11.290099553690133 57.451473236083984 0.7002159 0.19381487 -0.05110816 -3.085095 24.612438761084064 11.460250631495327 58.31731414794922 0.787795 0.1736486 -0.012849007 -3.089094 7.584367990222383 10.352959923221356 51.693416595458984 0.96132493 0.13776651 -2.9406126 -3.1210756 23.991706532836425 10.609999304910275 52.00038146972656 0.86493593 0.15534168 -3.063473 -3.102559 29.59907445137658 11.957172921580408 58.60297775268555 0.8139504 0.14402133 -0.07969204 -3.1023824 28.052527968040494 10.598757751838043 51.94528579711914 0.937537 0.103420734 0.074409954 -3.0798473 3.777190958439826 3.9092132604496754 13.812830924987793 0.98847836
ID_223276b96,0.100939855 -3.1409872 -3.1033232 -11.741337980297843 10.936569054365165 57.86732482910156 0.8686087 0.17980193 0.16586137 -3.0874574 -13.61741803669366 6.102055010287735 31.65711212158203 0.8424784 0.15196668 -3.1410599 -3.1144006 -12.406327129707062 6.308778414586357 32.10322570800781 0.98342866 0.21340953 0.088513955 -3.1109204 -21.462018148427774 6.716928577344202 33.538330078125 0.9756967 0.13310155 -3.0469563 -3.1210077 2.521112291772372 7.698033574637442 37.04580307006836 0.987245 0.21585491 -3.0807571 -3.0929582 5.736375138887045 7.390893238639951 34.93545913696289 0.9930306 0.16101374 3.1399887 -3.1016648 9.213940974796252 6.545000832692189 29.874929428100586 0.98605573 0.1391173 0.074815094 -3.0998254 12.345632975067623 6.987370461292361 31.89414405822754 0.941479 0.13533461 -0.066058844 -3.111486 18.857627879039605 7.905959467233089 36.08708190917969 0.6209646 0.12607734 3.1380053 -3.1128492 -0.8840247009719171 6.068607754314968 27.232927322387695 0.99840397
ID_1f8605bdc,0.09056635 0.03896991 -3.112187 -1.2163618459332923 18.64807628118588 114.63855743408203 0.72619045 0.16059254 3.1323357 -3.1145082 -23.519025087146304 19.810459008035224 97.0925064086914 0.5157725 0.14477132 -0.048121523 -3.0851908 -34.65781047335999 18.474627321543792 85.80108642578125 0.99127066 0.20014967 3.1110032 -3.1026785 -9.034858135009733 7.998711170648207 32.5938606262207 0.89273095
ID_089d5b041,0.2122265 -0.033496756 -3.0846019 -30.635479090065147 18.671398044914525 88.25643157958984 0.9001232 0.043668 3.1394713 -3.1226668 -10.359830877161436 13.399314677959161 63.33621597290039 0.85206336 0.14942579 0.049665436 -3.0981867 -31.61768792772545 15.826669467670953 73.50326538085938 0.98895067 0.111298695 3.1394558 -3.1063182 -13.771304042170513 14.306023118220764 66.44097900390625 0.6372175 0.13795619 -0.020175528 -3.0822368 -26.758464766159452 15.257298912384123 68.46725463867188 0.97887385 0.19200693 -0.013986744 -3.0788186 -29.832631011333447 9.863554751941571 42.817562103271484 0.9936627 0.09963766 -0.0005527921 -3.1021943 -25.059272912298916 11.205480238726857 44.303218841552734 0.9893778
ID_b4fc9fa2c,0.1572576 0.028814005 -3.0928333 -8.341841349589423 12.493267680439246 75.0665512084961 0.810715 0.15034567 0.05889903 -3.083274 -7.241914052577187 13.500639866654751 81.1194076538086 0.74348646 0.18427968 -0.055824734 -3.0873122 0.6560298075362283 15.891369883292796 95.4842529296875 0.67518926 0.16193344 3.0870025 -3.0984147 -9.332242600565138 10.871911023050771 63.88102340698242 0.879632 0.17045699 -0.0040009967 -3.1004953 -2.1770254977773362 13.189386978555042 77.49801635742188 0.75048596 0.23079275 3.125032 -3.1193492 -15.814774990879348 4.225120706452323 23.282453536987305 0.96286434 0.11894356 -3.1412961 -3.1228657 -13.806918912555592 5.490164325441128 30.253454208374023 0.9684581 0.20999879 0.082590155 -3.083717 -12.26299463493809 6.031366055259355 33.23573684692383 0.8866684 0.20682013 0.02865603 -3.0646389 2.0048292809130857 8.200824830188644 43.39201736450195 0.9523625 0.1960125 -0.039140165 -3.0827188 2.5887723866380874 5.875140121844364 28.794490814208984 0.9811045 0.17301594 -0.011399983 -3.0803149 -0.4124624382184088 5.7212981118257 27.533016204833984 0.9938719 0.10925208 -3.1401477 -3.1277323 -3.68876333906307 2.8960634875779334 11.984801292419434 0.99276966 0.18030906 0.1183552 -3.0742133 3.188215894409735 4.43325792884203 15.6644926071167 0.9946163
ID_0a2bb53de,0.1380832 3.1378908 -3.1135964 -28.964291639187824 7.448790247204748 43.76749801635742 0.7607074 0.19259237 0.09815583 -3.11237 -21.350207008730035 9.510006726757773 55.87876510620117 0.75646585 0.16060023 0.06140125 -3.0872493 -8.36609767037362 17.679756859161188 103.8824691772461 0.6982958 0.17714207 3.1303551 -3.1235642 -19.74987272595756 6.751935961350647 38.81521224975586 0.9945846 0.14805709 0.027995195 -3.0926342 -4.526883189400962 17.279229456124924 99.33402252197266 0.8313474 0.12554096 3.1393354 -3.1228597 -2.9681353914107262 18.37964536630973 105.66004180908203 0.8993096 0.18031454 0.059465572 -3.0884311 1.2020372858959547 18.601468693048375 106.93524932861328 0.5052319 0.111473635 3.1401894 -3.1035752 -18.884013425294224 5.664684944523213 31.215147018432617 0.78578675 0.17481767 0.04428012 -3.0752141 -10.574288918807738 6.646987951267562 35.88445281982422 0.96565306 0.17222844 0.018484212 -3.0909889 -7.158530225352532 6.387800899787699 33.13954544067383 0.9323429 0.18266223 -0.023588503 -3.0790603 -4.366450282656892 6.906775398926474 35.1462287902832 0.9841315 0.10028291 0.012705504 -3.1109018 1.6518556387638625 8.665127394396706 44.0938835144043 0.9805355 0.111568555 0.009063668 -3.0923684 -6.7913966803293135 5.61506503540744 28.036609649658203 0.9933321 0.15095997 0.06288126 -3.0872233 2.78615330986198 7.8492893146604565 38.469940185546875 0.9630999 0.14786536 0.044078406 -3.0989115 10.79228401566293 6.714690838688384 30.649486541748047 0.86777973 0.14457881 0.057467982 -3.093375 3.652004774161224 5.997705653165728 26.46806526184082 0.9889832 0.18446892 -3.0059984 -3.1270874 13.580760851350874 6.092963915176188 26.888442993164062 0.9481727 0.3154972 0.1911903 -3.0899146 -9.309366900990376 2.9908524333311064 12.572739601135254 0.9963152 0.15501225 0.081532694 -3.086662 4.537979945793982 5.303911230054812 22.29621696472168 0.9688137 0.123265594 -3.0405688 -3.1252384 10.204082734677893 3.9853650768274864 16.492666244506836 0.9901634 0.170449 -2.9381526 -3.0993717 16.101959844835456 5.902680052185357 22.663516998291016 0.9099401 0.1546489 0.17160562 -3.064787 4.47263708908446 4.055549265324284 14.924875259399414 0.99427855 0.15401196 0.099150576 -3.0650818 5.0036095588846 3.204844367443041 9.655960083007812 0.9979342
ID_58921d231,0.5379465 0.12183388 -3.0682375 -22.098725233864155 6.15226574495658 31.9176025390625 0.5702685 0.3164593 3.1073442 -3.1137443 -17.514005499763233 6.174610020917072 30.26221466064453 0.9029781 0.1734725 0.035106733 -3.1206427 -15.827056457570286 6.346680581319404 31.105545043945312 0.5293939 0.13569379 0.08033833 -3.0827923 3.0575051563232023 6.508188533404752 27.358675003051758 0.6589702 0.12798119 0.05011362 -3.0930755 4.730164755972222 6.675171613929386 28.060626983642578 0.90968573 0.121488094 0.021394596 -3.105399 4.905399641324735 6.371196102118258 26.365968704223633 0.7058135 0.12244749 0.04939246 -3.081057 5.576542120995722 6.620805607493114 27.398929595947266 0.95815885 0.115997314 0.12734006 -3.0946014 4.9485570370054575 4.427451300632253 16.757362365722656 0.97009796 0.06772421 -0.063407354 -3.1098604 -2.8977391123779057 3.7719585767031827 13.69173526763916 0.97793806 0.09114969 0.12133773 -3.0940568 5.8164347064514885 4.494880576537954 16.31585121154785 0.9952053 0.086556196 0.03950286 -3.1094847 6.458355522965647 4.105808810728766 14.131903648376465 0.9960574 -0.035641674 0.052922327 -3.1412349 6.869684857927686 3.653331671707214 11.262447357177734 0.9990582
ID_f89d8e6cd,0.15797065 0.029267102 -3.0933301 -0.7452349171120716 9.214698797660155 49.74650573730469 0.65214026 0.19613253 0.012790695 -3.080359 -3.6510738875011626 8.12713752708553 43.00212478637695 0.8453375 0.16901994 0.004176532 -3.0916831 18.75975037631474 13.015468610059713 67.52350616455078 0.6820559 0.21424922 -3.079384 -3.0937757 21.21731245623134 13.451000372611063 69.78302001953125 0.9007938 0.13882852 -0.036379732 -3.108992 24.102306775541464 12.422979588005518 64.44970703125 0.91186506 0.1655854 0.08750303 -3.0748742 2.6264914899620067 9.394174630163604 47.80375671386719 0.91091704 0.13522302 -0.05573917 -3.094902 -3.860945320147003 6.958369462022141 34.74386978149414 0.9891794 0.13223898 0.0032629205 -3.1029296 13.424378386014105 10.503333607479306 52.44424819946289 0.95586324 0.14870715 0.005674221 -3.0801117 4.427106399486867 8.768488451922849 42.97500228881836 0.98885906 0.14273165 3.1379647 -3.1207182 -6.514668805377102 7.477132760446757 35.98274612426758 0.9382547 0.1643791 0.05622851 -3.0841365 -0.29414052236217714 4.670778903364404 19.63469886779785 0.98474705 0.15869033 0.082811356 -3.083496 3.7506198770881483 5.159093647661525 21.687442779541016 0.98646265
ID_9f9c04c6f,0.16173828 0.031929664 -3.0968478 13.118516591514961 13.3515758599125 82.07846069335938 0.68009835 0.15266281 -3.00617 -3.1104357 21.18342793323798 10.674777785765684 64.14004516601562 0.55337095 0.17070411 0.005960226 -3.0906856 -0.7494930545510172 12.021801710190836 70.63753509521484 0.9694862 0.14339662 -0.069107234 -3.1036286 11.194058437097468 9.565704892686298 56.20603561401367 0.7658953 0.1392265 3.1218271 -3.1119049 -4.261055828408409 9.731812329777746 55.94578552246094 0.5087588 0.19397216 0.029125858 -3.0688806 -2.4328491577489686 10.27122533596566 59.04673767089844 0.5601983 0.08670068 0.032496665 -3.1278517 1.1180827300473126 9.733679614398923 55.956520080566406 0.98492914 0.16489296 0.029131847 -3.0795968 -10.884840777750874 8.284464402949418 46.61748123168945 0.69454414 0.17605639 -0.02587634 -3.0869398 4.227989956187216 6.607127923937032 36.40846252441406 0.9689298 0.1597613 -0.021327136 -3.0899258 -2.3119045102248315 7.297527449673989 39.39645767211914 0.9874306 0.1862955 -0.040875856 -3.078352 -3.842608327488648 5.678657941269176 28.896757125854492 0.9827026 0.08104801 0.051703636 -3.1152532 1.9451150360227452 5.378870490592117 26.85726547241211 0.992014 0.08703548 0.09321302 -3.1176705 11.709798640586484 6.123423848869464 28.944353103637695 0.99372345 0.14168811 0.035915148 -3.0940735 2.922558180103554 4.020069171499008 16.899290084838867 0.99833786
ID_0591a0910,0.18949698 3.1313186 -3.1103213 -25.53212531731516 13.473364977721268 77.45504760742188 0.6357972 0.10831952 3.0998983 -3.1027913 -12.0272592669508 12.353520891127921 68.07386016845703 0.553143 0.104435384 3.1414397 -3.106061 -14.576779726746915 7.8378567534844805 41.47148895263672 0.55292034 0.09975362 0.0057595875 -3.107542 -16.315222446520945 5.5833306371825735 27.36431121826172 0.91482013 0.17211626 3.1323752 -3.1172073 -4.244850536991095 7.099919139343626 34.16745376586914 0.59571517 0.18453217 -0.007831207 -3.084238 0.8307086674871726 11.057521541328605 53.21290969848633 0.5134891 0.15414384 3.1260235 -3.0931973 -3.494655264000439 7.894966803363655 37.3181266784668 0.7183786 0.19345133 3.126246 -3.1131318 -4.825538808656258 5.738926662657331 26.65310287475586 0.78501827 0.12371254 0.03962325 -3.1086683 1.6738353229569327 9.620594019761455 44.680599212646484 0.9544204 0.16745937 0.09992265 -3.0719557 2.8755878968858752 8.203513162364985 37.44527816772461 0.98974824 0.19946752 0.048222505 -3.070851 -1.2175302802574421 5.615913010596209 24.378604888916016 0.8839926 0.20741318 -0.021546952 -3.1041863 -10.987829950843917 4.1700193199051885 17.529640197753906 0.99331325 0.15154932 0.03887639 -3.0915325 -5.939478036703587 4.023819605141144 15.909015655517578 0.98637915 0.10068892 0.038005665 -3.0992544 -2.4363564443408467 4.21814849904818 16.677335739135742 0.99495304 0.17310166 0.14411044 -3.0727193 3.8413655443832653 4.631314175451507 17.04375457763672 0.9978529 0.1346309 0.19704574 -3.0960872 -4.35138097004887 4.7986679188451475 14.13764762878418 0.9984263
